sex,rep,line,f1,f2,f3,f4,f5
2,4,59,46,19,42,52,32
2,4,60,45,15,29,15,19
2,4,61,25,25,19,21,15
2,4,62,49,35,43,38,42
2,4,63,16,39,35,42,28
2,4,64,22,31,36,19,21
2,4,65,46,50,42,25,40
2,4,66,15,15,28,24,14
2,4,67,18,19,17,17,NA
2,4,68,17,11,10,25,19
2,4,69,9,19,14,21,24
2,4,70,21,21,19,16,14
2,4,71,13,16,28,27,38
2,4,72,45,23,18,22,32
2,4,73,32,37,44,32,57
2,4,74,26,19,12,17,41
2,4,75,12,25,29,23,26
2,4,76,26,21,44,36,19
2,4,78,20,28,16,21,20
2,4,79,29,24,20,21,25
2,4,80,21,48,27,42,45
2,4,81,47,26,22,40,45
2,4,82,16,40,18,28,16
2,4,83,30,21,46,28,29
2,4,84,50,53,35,21,34
2,4,86,23,24,25,22,26
2,4,87,32,47,51,23,28
2,4,88,17,23,8,19,26
2,4,89,45,56,14,66,46
2,4,90,47,53,26,43,57
2,4,91,51,26,19,43,18
2,4,92,25,27,23,26,27
2,4,93,18,44,37,33,50
2,4,94,57,53,45,57,34
2,4,96,38,31,21,27,22
2,4,97,25,29,35,36,40
2,4,98,61,60,41,61,25
2,4,99,36,20,34,44,18
2,4,100,42,38,39,41,42
2,4,101,42,28,52,41,27
2,4,102,28,36,28,46,26
2,4,103,18,18,19,29,21
2,4,104,20,41,31,28,34
2,4,105,48,51,43,74,6
2,4,106,17,17,30,19,15
2,4,107,32,32,27,54,68
2,4,108,23,25,37,21,NA
2,4,109,33,54,48,41,43
2,4,110,24,47,22,54,27
2,4,111,38,35,6,56,48
2,4,112,21,55,75,51,45
2,4,113,34,52,54,45,40
2,4,114,42,47,60,45,40
2,4,115,55,54,38,33,49
2,4,116,28,36,21,23,NA
2,4,117,43,38,54,16,37
2,4,118,38,44,37,17,36
2,4,119,22,35,18,56,35
2,4,120,22,50,41,19,19
2,4,121,28,30,40,62,40
2,4,122,28,54,40,57,20
2,4,123,43,33,44,37,39
2,4,124,24,55,27,48,46
2,4,125,43,27,18,49,39
2,4,126,40,19,27,41,23
2,4,127,31,24,23,49,13
2,4,128,22,29,19,26,13
2,4,129,37,34,18,42,16
2,4,130,21,50,41,54,45
2,4,131,51,34,55,46,51
2,4,132,28,55,47,49,NA
2,4,133,51,49,42,36,26
2,4,134,40,22,0,15,44
2,4,136,28,37,2,38,NA
2,4,137,42,49,43,45,NA
2,4,138,44,41,50,51,66
2,4,139,45,29,33,43,NA
2,4,140,18,58,32,16,34
2,4,141,32,32,18,53,26
2,4,142,42,43,37,36,22
2,4,143,43,22,26,41,23
2,4,144,29,26,24,30,35
2,4,145,28,54,27,47,41
2,4,146,29,21,37,26,27
2,4,147,24,52,54,33,0
2,4,148,51,41,34,21,NA
2,4,149,57,52,45,34,40
2,4,150,27,21,35,16,21
2,4,151,NA,NA,NA,NA,NA
2,4,152,NA,NA,NA,NA,NA
2,4,153,21,7,20,17,22
2,4,154,40,60,46,42,50
2,4,156,22,17,22,19,23
2,4,157,40,44,23,22,12
2,4,158,46,22,44,38,19
2,4,159,17,19,14,13,24
2,4,160,51,46,12,37,28
2,4,161,21,19,17,2,33
2,4,162,53,30,43,46,47
2,4,163,23,27,15,18,11
2,4,164,40,16,37,13,23
2,4,165,27,14,44,29,39
2,4,166,36,25,15,57,NA
2,4,167,46,47,37,50,NA
2,4,168,14,37,18,25,15
2,4,169,37,39,25,39,43
2,4,170,12,70,21,22,24
2,4,171,52,48,49,40,46
2,4,172,38,44,51,19,30
2,4,173,49,50,54,46,51
2,4,174,44,43,32,50,33
2,4,175,16,38,30,24,40
2,4,176,30,30,23,28,22
2,4,177,14,15,20,16,14
2,4,178,17,32,29,38,57
2,4,179,20,41,34,18,39
